date,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio
2021-06-11,8783.65125,210807.63,11100.01,6702.36,1551.448927327956,4397.650000000001,0.7913192195322347,1.2637125136315037
2021-06-12,8599.100833333332,206378.41999999995,10906.18,6315.38,1694.2013797141594,4590.8,0.7884612974784326,1.2682930705642579
2021-06-13,8698.051249999999,208753.22999999998,11474.6,5981.77,2026.853730486077,5492.83,0.7580265325152945,1.3192150368164366
2021-06-14,9302.385833333336,223257.26000000004,12061.85,6441.59,2073.6887634272634,5620.26,0.7712238034242952,1.2966404765515798
2021-06-15,9070.339583333332,217688.14999999997,11679.61,6386.78,1991.607813340942,5292.830000000001,0.7765961006688864,1.2876706426142168
2021-06-16,8736.891249999999,209685.38999999996,11419.61,5988.13,1970.6760175972995,5431.4800000000005,0.7650779010841875,1.3070564429882314
2021-06-17,9077.95125,217870.83000000002,11602.88,6325.54,1966.257430032812,5277.339999999999,0.7823877563156734,1.2781386108457014
2021-06-18,8839.299583333333,212143.19,11210.94,6504.14,1684.4420514726482,4706.8,0.7884530274297546,1.2683063736337707
2021-06-19,8291.002916666666,198984.07,10888.85,5678.48,1898.3112098651839,5210.370000000001,0.7614213545660622,1.3133332733620335
2021-06-20,8574.477499999999,205787.46,10684.69,6298.63,1649.7931505501454,4386.06,0.8025012892278577,1.2461039171191484
2021-06-21,9449.465,226787.16,11891.31,7218.49,1680.6636370015065,4672.82,0.7946529860881603,1.258410925909562
2021-06-22,8597.920416666666,206350.09,10521.63,6824.12,1301.9242487897577,3697.5099999999993,0.817166201117761,1.2237412641787557
2021-06-23,9229.9775,221519.46000000002,11869.49,6621.5,1961.5196099680293,5247.99,0.7776220798029234,1.285971715532351
2021-06-24,9324.812499999998,223795.49999999994,11755.96,6836.98,1818.511235712023,4918.98,0.7931987264332304,1.2607181109539738
2021-06-25,9214.640833333335,221151.38000000003,11450.37,7057.99,1596.1808741109317,4392.380000000001,0.8047461202854872,1.242627923009117
2021-06-26,8876.04625,213025.11,11136.78,6816.47,1554.7208263216805,4320.31,0.7970029263395703,1.254700537415519
2021-06-27,7945.963750000002,190703.13000000003,9521.77,6321.35,1106.2215860494894,3200.42,0.8345049029749723,1.198315308196567
2021-06-28,7796.282083333335,187110.77000000005,9745.07,5928.65,1284.4333312601293,3816.42,0.8000231997649412,1.2499637514184776
2021-06-29,7563.875416666667,181533.01,9107.32,5924.53,1100.052380227095,3182.79,0.8305270284415907,1.2040547336266831
2021-06-30,8138.951250000001,195334.83000000002,10307.36,5974.37,1622.4385771084444,4332.990000000001,0.7896252047080922,1.2664236070955701
2021-07-01,8664.109999999999,207938.63999999996,11212.71,6077.61,1919.029738029997,5135.099999999999,0.7727043685246474,1.2941560067912343
2021-07-02,9000.584166666666,216014.02,11434.93,6673.89,1709.4179388112523,4761.04,0.7871131844853152,1.2704653151679695
2021-07-03,8224.486666666668,197387.68000000002,10137.68,6311.91,1326.3106406926292,3825.7700000000004,0.8112789777016701,1.23262161042675
2021-07-04,7553.2699999999995,181278.47999999998,9329.74,6085.11,1115.14757479623,3244.63,0.8095906209604984,1.2351921750447157
2021-07-05,7661.089999999999,183866.15999999997,9443.64,6038.24,1226.0500051827805,3405.3999999999996,0.8112433341381078,1.2326757680695568
2021-07-06,7618.115833333333,182834.78,9460.43,5885.66,1255.5342877901292,3574.7700000000004,0.8052610540253807,1.2418333098330636
2021-07-07,7595.641249999998,182295.38999999996,9367.61,5840.57,1230.4278222963662,3527.040000000001,0.8108408921806093,1.2332875779250374
2021-07-08,7682.474583333334,184379.39,9489.48,5840.51,1288.696129160347,3648.9699999999993,0.8095780362394287,1.235211375848461
2021-07-09,7184.7716666666665,172434.52,7836.64,6079.07,636.0092685041534,1757.5700000000006,0.9168178794313209,1.0907291649027122
2021-07-10,7571.140833333335,181707.38000000003,9333.91,5767.49,1375.118309240325,3566.42,0.8111435436310543,1.2328274173564109
2021-07-11,7951.022500000002,190824.54000000004,10257.21,6009.02,1567.0879852057083,4248.189999999999,0.7751642503175817,1.290049172920841
2021-07-12,8285.970000000003,198863.28000000006,10018.17,6624.93,1207.9206153335683,3393.24,0.8270941698933042,1.2090521689072005
2021-07-13,7681.566666666667,184357.6,9787.29,5783.86,1301.6577005785211,4003.430000000001,0.7848512373360416,1.2741268057297341
2021-07-14,7842.522083333332,188220.52999999997,10120.74,5754.01,1546.50350390522,4366.73,0.7748961126689682,1.2904955692134117
2021-07-15,8417.418333333333,202018.04,10851.44,6084.17,1772.6523531130129,4767.27,0.7756959752192643,1.2891648686424244
2021-07-16,8617.953749999999,206830.88999999998,10717.41,6453.42,1534.7597286470054,4263.99,0.8041078721444825,1.2436142396331613
2021-07-17,8542.718333333332,205025.24,10787.7,6497.64,1553.1995456942834,4290.06,0.7918943179114484,1.2627947661468415
2021-07-18,8553.5275,205284.66,11123.8,6122.91,1854.9444812768834,5000.889999999999,0.7689393462665637,1.300492691465597
2021-07-19,8713.744166666667,209129.86000000002,11387.08,6707.97,1517.7435786917843,4679.11,0.7652307849480874,1.306795308905194
2021-07-20,8153.943749999999,195694.65,10571.52,5938.9,1675.193221553114,4632.620000000001,0.7713123325690155,1.2964916516624243
2021-07-21,8154.754999999998,195714.11999999997,10202.34,6165.38,1455.9593104801775,4036.96,0.7993024149361811,1.251090927931005
2021-07-22,7842.586249999999,188222.06999999998,10231.76,5780.33,1516.8754527870556,4451.43,0.7664943519003572,1.304641055111125
2021-07-23,8548.538333333332,205164.91999999998,11170.41,6072.18,1897.0099107019576,5098.23,0.7652842047277881,1.3067040895685287
2021-07-24,8791.411666666665,210993.87999999998,11175.5,6661.19,1659.451511055664,4514.31,0.7866683071600076,1.2711837897857514
2021-07-25,8770.471666666668,210491.32000000004,11532.96,6266.41,1924.8579546546027,5266.549999999999,0.7604701366055782,1.3149760284652114
2021-07-26,9238.042916666667,221713.03000000003,11975.67,6546.75,2000.6313808145214,5428.92,0.7714009250978582,1.296342754415471
2021-07-27,9057.59875,217382.37,11498.96,6600.31,1808.24866133508,4898.649999999999,0.7876885170484983,1.2695373594463986
2021-07-28,9327.418333333333,223858.04,11904.27,6768.95,1933.6446473966716,5135.320000000001,0.7835355156875081,1.276266333789039
2021-07-29,9175.595416666669,220214.29000000004,11814.78,6810.04,1728.1045355960514,5004.740000000001,0.7766200823601175,1.2876308799033884
2021-07-30,9127.06,219049.44,11934.73,6417.5,2056.3979576434126,5517.23,0.7647479247540581,1.3076204166511451
2021-07-31,9197.477083333333,220739.45,11553.78,6724.02,1795.3337621843325,4829.76,0.7960578341749049,1.2561901372862894
2021-08-01,9017.307916666665,216415.38999999996,11733.52,6630.89,1764.0636604922693,5102.63,0.7685083348105823,1.3012220618875583
2021-08-02,7892.550833333334,189421.22,9421.45,6698.4,848.6245145088388,2723.050000000001,0.8377214583034812,1.1937141994967617
2021-08-03,8378.530833333334,201084.74000000002,10859.49,6058.45,1756.5088760525662,4801.04,0.7715399925165302,1.2961090931116899
