date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-02-17,45307.77375,1.08738657e6,49445.35,42628.67,2305.331383740576,6816.68,0.9163202151466215,1.0913215527390594
2021-02-18,51969.63916666667,1.24727134e6,55723.51,47970.87,2732.5580297492493,7752.639999999999,0.9326339845904658,1.0722319972492915
2021-02-19,49397.2075,1.18553298e6,58610.02,39794.69,5546.116986962296,18815.329999999994,0.8428116472234611,1.1865047229643497
2021-02-20,43135.35708333333,1.0352485699999998e6,52761.14,33953.36,6205.892827581021,18807.78,0.8175592317249651,1.2231529670212442
2021-02-21,34734.63583333333,833631.2599999999,37378.24,31387.19,1932.9481250240672,5991.049999999999,0.9292742470842215,1.076108590265677
2021-02-22,34866.87416666667,836804.9800000001,40800.91,30092.1,2899.1914157495357,10708.810000000005,0.8545611891172689,1.170191219464301
2021-02-23,35053.67250000001,841288.1400000001,39688.69,30421.78,2683.999762499585,9266.910000000003,0.8832156591714165,1.1322263023938504
2021-02-24,34247.40083333334,821937.6200000001,38738.83,27800.15,3721.6204368339536,10938.68,0.8840587295314117,1.1311465704660164
2021-02-25,36675.86791666666,880220.83,41921.72,29467.27,4308.022251358484,12454.45,0.8748655331094874,1.143032800075863
2021-02-26,37513.49708333333,900323.9299999999,40357.13,32797.07,2603.6545538906403,7560.059999999998,0.9295382769620468,1.0758029279528314
2021-02-27,35506.37916666666,852153.0999999999,38356.19,31134.47,2605.296223686626,7221.720000000001,0.9257014100375104,1.0802619388464354
2021-02-28,35032.096666666665,840770.32,40323.96,29383.02,3829.5832830634254,10940.939999999999,0.8687662785764757,1.151057568254788
2021-03-01,37795.81916666667,907099.66,42069.37,31124.11,3773.1632336207117,10945.260000000002,0.8984165716450393,1.1130694062877282
2021-03-02,37827.62375,907862.97,43804.91,34208.99,2735.639502305134,9595.920000000006,0.8635475737765469,1.1580137914425568
2021-03-03,37819.86458333332,907676.7499999998,45050.26,34836.1,2866.0420150064847,10214.160000000003,0.8395038027157516,1.1911798335696056
2021-03-04,36388.13958333333,873315.35,40775.89,31995.17,2560.0994986922215,8780.720000000001,0.8923935095796396,1.1205818837376442
