date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2022-05-29,53554.04875000001,1.2852971700000002e6,66410.46,41238.96,9022.42785421024,25171.500000000007,0.8064098449250314,1.2400642257696715
2022-05-30,54907.489583333336,1.31777975e6,66929.72,43889.78,8542.031414554676,23039.940000000002,0.8203753068641754,1.2189542903508723
2022-05-31,58181.318749999984,1.3963516499999997e6,71632.08,45405.55,9538.478372366235,26226.53,0.8122243378944181,1.231186943489486
2022-06-01,56268.65333333334,1.3504476800000002e6,68302.36,44867.03,8438.390960741717,23435.33,0.8238171174954034,1.2138616432737326
2022-06-02,52108.60291666668,1.2506064700000002e6,64608.03,41708.56,8007.966621626392,22899.47,0.8065344650915169,1.2398726195619312
2022-06-03,50668.94041666667,1.21605457e6,62255.54,39571.24,7898.882709074569,22684.300000000003,0.8138864495700571,1.2286726244530293
2022-06-04,49926.03416666665,1.1982248199999996e6,62652.9,38141.13,9003.38434332572,24511.770000000004,0.7968670910152068,1.2549144158105492
2022-06-05,53523.882500000014,1.2845731800000004e6,68130.28,39359.21,10433.038599851187,28771.07,0.7856107812855021,1.2728949548829904
2022-06-06,58393.63416666665,1.4014472199999995e6,72459.44,44483.87,10448.733105730596,27975.57,0.8058802851176692,1.2408790963957963
2022-06-07,59164.41291666666,1.41994591e6,72900.93,45752.88,9971.583510841752,27148.049999999996,0.8115728141831204,1.2321753298335145
2022-06-08,57799.99583333334,1.3871999000000001e6,69731.66,46119.29,8418.898027887291,23612.370000000003,0.8288917234055999,1.206430190774956
2022-06-09,57976.66375,1.39143993e6,72675.55,43343.6,10919.720478638163,29331.950000000004,0.7977464738828945,1.253531081287857
2022-06-10,59458.93666666668,1.4270144800000004e6,73945.74,45413.48,10576.736212187028,28532.260000000002,0.8040887367773543,1.2436438346442005
2022-06-11,60512.293750000004,1.45229505e6,74418.56,45636.73,10801.5996667542,28781.829999999994,0.8131344351462861,1.2298089427489267
