date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio
2021-05-02,12841.674583333333,308200.19,15929.84,10230.75,2122.17099851109,5699.09,0.8061395835321217,1.2404799620662141
2021-05-03,14632.854166666666,351188.5,17811.98,11615.17,2178.395697468002,6196.8099999999995,0.8215175497988807,1.217259448985374
2021-05-04,14200.75791666667,340818.19000000006,17141.84,12003.5,1715.4524465776906,5138.34,0.8284266984563308,1.2071074023367119
2021-05-05,12595.895833333334,302301.5,15551.49,10042.07,1874.0896903503672,5509.42,0.8099478463692761,1.2346473967214848
2021-05-06,12896.66125,309519.87,16182.23,9975.64,2126.562619221988,6206.59,0.7969644016924737,1.2547611886758676
2021-05-07,13275.467916666668,318611.23000000004,16548.24,10282.98,2140.027095712208,6265.260000000002,0.802228389041171,1.246527813850127
2021-05-08,13330.827083333332,319939.85,16035.37,10523.71,2053.731802418474,5511.660000000002,0.8313389141213038,1.2028788536345194
2021-05-09,14039.365833333331,336944.77999999997,16277.4,11776.15,1668.1522658446843,4501.25,0.8625066554445632,1.1594113433067579
2021-05-10,15332.440000000002,367978.56000000006,18560.36,12256.4,2294.6059544164614,6303.960000000001,0.8260852698977823,1.2105287873293487
2021-05-11,14900.167500000001,357604.02,18290.3,12236.28,2158.4973279943374,6054.019999999999,0.8146486115591326,1.2275231134146645
2021-05-12,11769.485833333334,282467.66000000003,13009.38,10280.8,850.9316310650942,2728.58,0.904692293816718,1.1053482016312945
2021-05-13,11951.538333333332,286836.92,13497.65,9862.55,1309.9849545855782,3635.1000000000004,0.8854532702606256,1.1293650761554686
2021-05-14,12707.540833333333,304980.98,15480.84,10133.07,1798.1152786735547,5347.77,0.8208560280536026,1.2182404292884101
2021-05-15,12529.034166666666,300696.82,15074.41,10076.0,1731.8812287670876,4998.41,0.8311459066501884,1.203158184379868
2021-05-16,11815.11875,283562.85,12708.36,10499.43,825.8265875778907,2208.9300000000003,0.9297123114233464,1.0756015465354507
2021-05-17,12730.884166666669,305541.22000000003,16370.99,10256.5,1951.446131366521,6114.49,0.7776490100272903,1.2859271819363682
2021-05-18,12247.176666666666,293932.24,14887.63,9723.83,1761.0548963486694,5163.799999999999,0.8226411233128891,1.215596900836737
2021-05-19,11351.541250000002,272436.99000000005,12430.04,9737.21,929.3587446767075,2692.8300000000017,0.9132344907980989,1.095009014745024
2021-05-20,12429.71916666667,298313.26000000007,14854.75,9650.25,1849.750550432507,5204.5,0.8367504782420888,1.195099406576831
2021-05-21,13194.087500000001,316658.10000000003,15500.56,10736.93,1566.7178364234549,4763.629999999999,0.8512006985554071,1.174811065941468
2021-05-22,12801.293749999999,307231.05,14238.78,11376.97,1002.7125168297566,2861.8100000000013,0.899044282586008,1.1122922634284524
2021-05-23,11921.511250000001,286116.27,12862.7,10507.13,911.5903659005604,2355.5700000000015,0.9268280570953222,1.0789487784109586
2021-05-24,12887.46583333333,309299.17999999993,14694.76,10699.21,1343.1933287567606,3995.550000000001,0.8770109776092518,1.1402365825864786
2021-05-25,13397.095416666669,321530.29000000004,15640.56,10905.15,1656.7713759939427,4735.41,0.8565611088520276,1.167459028510191
2021-05-26,14544.377916666666,349065.07,18220.28,10946.51,2627.392567245559,7273.769999999999,0.7982521627914976,1.2527369753725286
2021-05-27,15118.318749999999,362839.64999999997,18661.48,11671.41,2490.4293089315593,6990.07,0.8101350348418238,1.2343621211187918
2021-05-28,14525.834166666667,348620.02,17693.33,11998.15,1837.2881493206387,5695.180000000002,0.8209779711714339,1.2180594792003052
2021-05-29,13324.53375,319788.81,16928.14,10270.02,2411.7170689975264,6658.119999999999,0.7871233195141345,1.2704489566098325
2021-05-30,13149.972500000002,315599.34,15657.55,10888.42,1704.7957084348336,4769.129999999999,0.8398486672563716,1.1906907029653482
2021-05-31,13531.384166666665,324753.22,16201.84,10942.66,1981.984169308771,5259.18,0.8351757681020591,1.197352746802634
2021-06-01,13599.237083333333,326381.69,15735.6,11517.26,1417.894982449808,4218.34,0.8642337809383394,1.1570943210692977
2021-06-02,13887.98041666667,333311.5300000001,17454.53,10503.9,2508.6918475112448,6950.629999999999,0.7956662492010196,1.2568083678353397
2021-06-03,13002.589166666667,312062.14,16090.44,10757.01,1654.1900455980858,5333.43,0.8080940711793255,1.2374796891414
2021-06-04,12600.889166666668,302421.34,14535.45,10429.36,1392.0966860222238,4106.09,0.8669073999543645,1.153525739949436
2021-06-05,13169.464583333332,316067.14999999997,15987.52,10575.88,1932.1698198904437,5411.640000000001,0.8237340490165662,1.2139840537050435
2021-06-06,14071.539583333337,337716.95000000007,17695.0,10410.16,2764.3329382856764,7284.84,0.795226876707168,1.2575027697010763
2021-06-07,15646.075833333336,375505.82000000007,18572.02,12688.02,2108.3173152291206,5884.0,0.842454177484912,1.1870081800596324
2021-06-08,16366.384166666663,392793.2199999999,19731.06,13238.52,2339.8607910318024,6492.540000000001,0.8294731335603187,1.205584556678448
2021-06-09,16431.69,394360.56,19619.44,13451.65,2272.0208493398077,6167.789999999999,0.8375208466704452,1.1940001302361474
2021-06-10,16204.532499999994,388908.77999999985,19761.46,12591.96,2598.245779498244,7169.5,0.8200068466601149,1.2195020127856206
2021-06-11,16234.138749999998,389619.32999999996,19780.62,12679.58,2602.9346356143824,7101.039999999999,0.8207092977874303,1.2184582320389494
2021-06-12,15966.866666666663,383204.79999999993,19411.76,12385.75,2578.8760275776135,7026.009999999998,0.8225357549581627,1.2157526210527636
2021-06-13,16327.347083333334,391856.33,19797.75,12520.72,2782.983063030965,7277.030000000001,0.8247072057851692,1.2125515491864072
