"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-26","2.6",",,W","0.0",",,W,2400","0.0",",,W","27.2",",,W","6.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-27","2.9",",,W","0.0",",,W,2400","0.0",",,W","28.3",",,W","15.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-28","7.1",",,W","0.0",",,W,2400","0.0",",,W","22.8",",,W","6.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-29","3.2",",,W","0.0",",,W,2400","0.0",",,W","23.9",",,W","1.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-30","4.9",",,W","0.0","T,,W,2400","0.0",",,W","26.1",",,W","14.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-03-31","6.9",",,W","0.5",",,W,2400","0.0",",,W","21.7",",,W","12.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-01","3.0",",,W","0.0",",,W,2400","0.0",",,W","20.6",",,W","1.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-02","3.5",",,W","0.0",",,W,2400","0.0",",,W","21.1",",,W","0.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-03","2.9",",,W","3.6",",,W,2400","0.0",",,W","19.4",",,W","8.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-04","2.0",",,W","0.0","T,,W,2400","0.0",",,W","23.9",",,W","8.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-05","3.6",",,W","0.0",",,W,2400","0.0",",,W","26.1",",,W","7.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-06","7.7",",,W","0.0","T,,W,2400","0.0",",,W","30.0",",,W","18.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-07","4.2",",,W","0.0","T,,W,2400","0.0",",,W","29.4",",,W","8.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-08","3.3",",,W","0.0",",,W,2400","0.0",",,W","31.7",",,W","6.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-09","5.1",",,W","0.0",",,W,2400","0.0",",,W","31.7",",,W","17.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-10","5.7",",,W","0.0",",,W,2400","0.0",",,W","26.1",",,W","8.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-11","2.9",",,W","0.0",",,W,2400","0.0",",,W","30.6",",,W","3.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-12","4.1",",,W","0.0",",,W,2400","0.0",",,W","30.6",",,W","16.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-13","3.9",",,W","0.0",",,W,2400","0.0",",,W","27.2",",,W","21.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-14","3.9",",,W","0.0","T,,W,2400","0.0",",,W","26.7",",,W","19.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-15","4.3",",,W","3.3",",,W,2400","0.0",",,W","21.7",",,W","15.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-16","4.1",",,W","1.8",",,W,2400","0.0",",,W","20.0",",,W","15.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-17","7.7",",,W","0.0","T,,W,2400","0.0",",,W","17.8",",,W","10.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-18","4.1",",,W","0.0","T,,W,2400","0.0",",,W","18.9",",,W","8.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-19","1.6",",,W","0.0",",,W,2400","0.0",",,W","23.3",",,W","5.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-20","4.0",",,W","0.0",",,W,2400","0.0",",,W","27.8",",,W","6.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-21","6.5",",,W","0.0",",,W,2400","0.0",",,W","17.8",",,W","5.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-22","2.9",",,W","0.0","T,,W,2400","0.0",",,W","18.3",",,W","3.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-23","2.3",",,W","14.2",",,W,2400","0.0",",,W","22.8",",,W","16.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-24","4.6",",,W","0.0",",,W,2400","0.0",",,W","28.3",",,W","12.2",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-25","3.8",",,W","0.0",",,W,2400","0.0",",,W","30.0",",,W","8.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-26","5.9",",,W","0.0",",,W,2400","0.0",",,W","29.4",",,W","18.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-27","5.5",",,W","0.0","T,,W,2400","0.0",",,W","26.1",",,W","20.0",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-28","7.1",",,W","2.0",",,W,2400","0.0",",,W","29.4",",,W","21.7",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-29","3.0",",,W","2.3",",,W,2400","0.0",",,W","23.9",",,W","19.4",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-04-30","4.2",",,W","48.3",",,W,2400","0.0",",,W","22.2",",,W","18.3",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-05-01","4.0",",,W","38.1",",,W,2400","0.0",",,W","22.2",",,W","17.8",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-05-02","4.1",",,W","0.0",",,W,2400","0.0",",,W","30.0",",,W","13.9",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-05-03","4.7",",,W","0.0",",,W,2400","0.0",",,W","32.8",",,W","20.6",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-05-04","5.3",",,W","6.4",",,W,2400","0.0",",,W","27.2",",,W","16.1",",,W"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","30.18311","-97.67989","146.5","2021-05-05","4.0",",,W","0.0",",,W,2400","0.0",",,W","25.6",",,W","11.7",",,W"
